18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.02.001
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.10.002
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.10.010
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.10.011
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.10.012
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.001
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.002
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.003
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.004
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.005
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.006
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.007
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.008
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.011
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.012
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.013
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.014
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.015
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.016
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.020
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.021
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.024
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.01.50.025
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | CD_CCUSTO = 2.02.01.001
