07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 102 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 103 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 104 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/02/2018 15:07 - DONIZETE | USUARIOS_ID = 10863 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
22/02/2018 08:33 - DONIZETE | USUARIOS_ID = 11080 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
22/02/2018 08:33 - DONIZETE | USUARIOS_ID = 11080 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
22/02/2018 08:33 - DONIZETE | USUARIOS_ID = 11080 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
22/02/2018 08:33 - DONIZETE | USUARIOS_ID = 11080 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
